review,subjetividade,,,Valor Final Subjetividade,classificacao
"comida excelente, atendimento bom é perto do centro administrativo e de fácil acesso, ambiente climatizado",1,1,1,1,1
Parabens Camarada!,0,0,1,0,1
"Restaurante fantástico, ambiente aconchegante, comida maravilhosa com preço acessível e funcionários super educados",1,1,1,1,1
O restaurante possui um espaço kids muito seguro e confortável para os pais e as crianças.,1,0,1,1,1
O preço cobrado é justo.,1,0,1,1,1
Possui um menu de inspiração asiática (tailandesa) - o Tao.,0,0,0,0,0
"Comida incrível, preço mt bom (justo).",1,1,1,1,1
"Pizzaria com bom atendimento e otima pizza a portuguesa e a americana é deliciosa, capricham no recheio e massa macia.Tem atendimento gentil.",1,1,1,1,1
Muita alegria no aniversário da nossa amiga Aline,0,0,0,0,1
"Sempre vou la quando posso, a qualidade e sempre excelente, a fila para esperar 40 min, pode ser mitigada comendo algo no bar com um espumante",1,1,1,1,1
"Atendimento perfeito e super alto astral, preço razoável e deliciosos sandubas.",1,1,1,1,1
A esfiha de carne é excelente.,1,1,1,1,1
"atendimento muito bom, com comida boa e e varias opções de comida com preços variados e bastante variedade.",1,1,1,1,1
Fora o ótimo atendimento do garçom Osmar !,1,1,1,1,1
Os pratos são bem preparados e com combinações de alimentos realmente surpreendentes.,1,1,1,1,1
Pratos execelentes da entrada a sobremesa.,1,1,1,1,1
"A comida não chamou a atenção: nem espetacular nem ruim, apenas boa.",1,1,1,1,0
RECOMENDO.,1,1,1,1,1
Serviço ainda merece ajustes.,1,1,1,1,-1
Sem contar que o restaurante é muito bem decorado o que lembra você a um ambiente indiano.,1,1,1,1,1
Eu já fui pronta pra comer a galinha caipira (pedimos ao molho pardo).,0,0,0,0,0
Fui no jantar.,0,0,0,0,0
"olha que restaurante maravilhoso é esse , comi tudo desde os camarões ao peixe passando pelo casquinho aos petiscos e tenho que confessar babei, tudo delicioso, atendimento maravilhoso e gostei dos preços tb!!!!",1,1,1,1,1
"Comida de primeira qualidade e saudável, cardápio em constante renovação, preço honesto.",1,1,1,1,1
Ampla lista de vinhos com adega abastecida.,1,0,0,0,1
Todas as porções são generosas.,1,1,1,1,1
"Pedi rodizio, porem muita demora para servir, garçom  com um humor terrivel, a apresentação dos pratos muito feio.",1,1,1,1,-1
"Escolhi o missô tonkotsu, que é o lamen imerso no caldo à base de porco e missô.",0,0,0,0,0
"Bela mistura, um bar infomral, um atendimento infomral ( porem eficiente e simpatico),comida com entradas super saborosas e fora do ordinario, nada ruidoso.",1,1,1,1,1
Bobó de camarão.,0,0,0,0,0
"Para uma refeição rápida e para quem come bem pouco  , classifico como bom .",1,1,1,1,1
"Pratos diversos com camarões, nas mais variadas formas e de excelente paladar.",1,1,1,1,1
No início do ano estive neste restaurante.,0,0,0,0,0
Conheço a Rede Mangai e me decepcionei na Unidade de Natal.,1,0,0,0,-1
"Achei o atendimento excelente em especial do garçom eduardo,todos os pedidos foram feito e entregues bastante rápidos.",1,1,1,1,1
"Todavia, as opções, seja de carne ou acompanhamento, são as de sempre, nada de diferenciado.",1,0,1,1,0
"Além de deliciosas pizzas, massas finas, gente bonita.",1,1,1,1,1
"Fui no meio da semana, mês de julho, pouco movimento na capital.",0,0,0,0,0
É excelente para festas de confraternização.,1,1,1,1,1
"Comida farta, bem servida, um senão para o quesito higiene de talheres e pratos, para os mais exigentes.",1,1,1,1,-1
"O ambiente é simples, tem um cardápio vasto carnes, peixes, aves e massas.",1,1,1,1,1
O ambiente é bonito e elegante e o cardapio bem variado com uma excelente carta de vinhos.,1,1,1,1,1
Obrigada!,0,0,0,0,0
E mesmo assim ele não foi até nós.,0,0,0,0,-1
O Restaurante oferece transporte ida e volta para o Hotel!!!,0,0,0,0,1
"Comida tipicamente Gaúcha, com churrascos maravilhosos e uns pratos divinos, são servidos diversas opções de pratos e vc pode saborear um excelente churrasco de costela tipicamente gaúcho.",1,1,1,1,1
"As pizzas são muuito gostosas, tanto as doces quanto as salgadas!!",1,1,1,1,1
"Recomendo em ir a tarde num horário tranquilo  durante a tarde assim da para pegar mesa , tem um café muito com que serve com chantili de banana , é ótimo para fás de gastronomia !",1,1,1,1,1
O atendimento é execelente.,1,1,1,1,1
Um lugar encantador!,1,1,1,1,1
Sendo q sempre pedi e sempre paguei.,0,0,0,0,0
Ninguém gostou.,1,1,1,1,-1
"Ótimo estabelecimento para tomar uma cerveja bem gelada com os amigos, e, claro, provar os lanches deliciosos do Tio Veio.",1,1,1,1,1
"Comida boa, preço justo,ambiente familiar.Não posso deixar de falar do atendimento que é muito eficiente.",1,1,1,1,1
Explosão de sabores em vários tipos de pratos.,1,1,1,1,1
"O ambiente e muito bonito e os pratos são servidos rapidamente, pode chegar com muita fome que não precisará esperar...",1,1,1,1,1
Valor total  88 reais com os 10% inclusos.,0,0,0,0,0
Vale conferir...,1,1,1,1,1
"Um estabelecimento que nunca mais visitarei, atrai pela boa estrurura, porem a recepção do hostess e tão ruim que que eu e minha família saímos imediatamente e fomos a outro restaurante!",1,1,1,1,-1
"Ótima sorveteria, com bom espaço, uma boa variedade de opções de Açaí e sorvetes, recomendo todos inclusive o sorvete de torta alemã, muito saboroso.",1,1,1,1,1
"Tudo que precisei, fui prontamente atendido pela equipe do Santa Grelha",0,0,0,0,1
Se você como eu acha a comida árabe maravilhosa esse vai passar a ser seu restaurante favorito.,1,1,1,1,1
"Sobremesas fantásticas, principalmente o Romeu e Julieta de quinta-feira.",1,1,1,1,1
É possível provar cerca de 10 rótulos da Amazon Beer (cervejaria local).,0,0,0,0,0
"Local agradável, limpo e  com preço bom, com comidas típicas, onde se é atendido por pessoas educadas e prestativas.",1,1,1,1,1
Faltou transparência... visto que os valores não são baratos.,1,1,1,1,-1
A cerveja gelada.,1,1,1,1,1
"E eu não me canso dessa carne do sol, simplesmente maravilhosa!!!",1,1,1,1,1
