backdrop_path,first_air_date,genre_ids,id,name,origin_country,original_language,original_name,overview,popularity,poster_path,vote_average,vote_count,Casting,Crew,genres,last_air_date,number_of_episodes,number_of_seasons,status
,2004-05-10,"[16, 35]",100,I Am Not an Animal,['GB'],en,I Am Not an Animal,"I Am Not An Animal is an animated comedy series about the only six talking animals in the world, whose cosseted existence in a vivisection unit is turned upside down when they are liberated by animal rights activists.",12.076,/qG59J1Q7rpBc1dvku4azbzcqo8h.jpg,9.4,598,Julia Davis;Kevin Eldon;Simon Pegg;Steve Coogan;Amelia Bullmore;John Shrapnel,,Animation;Comedy,2004-06-14,6,1,Ended
/7gbmM2NWcqZONbp65HUWDf4wr0Q.jpg,2019-07-12,"[16, 18]",88040,Given,['JP'],ja,ギヴン,"Tightly clutching his Gibson guitar, Mafuyu Satou steps out of his dark apartment to begin another day of his high school life. While taking a nap in a quiet spot on the gymnasium staircase, he has a chance encounter with fellow student Ritsuka Uenoyama, who berates him for letting his guitar's strings rust and break. Noticing Uenoyama's knowledge of the instrument, Satou pleads for him to fix it and to teach him how to play. Uenoyama eventually agrees and invites him to sit in on a jam session with his two band mates: bassist Haruki Nakayama and drummer Akihiko Kaji.

Satou's voice is strikingly beautiful, filling Uenoyama with the determination to make Satou the lead singer of the band. Though reticent at first, Satou takes the offer after an emotional meeting with an old friend. With the support of his new friends, Satou must not only learn how to play guitar, but also come to terms with the mysterious circumstances that led him to be its owner.",28.498,/pdDCcAq8RNSZNk81PXYoHNUPHjn.jpg,9.2,391,Fumiya Imai;Shougo Yano;Takuya Eguchi;Masatomo Nakazawa;Yuuma Uchida;Shintaro Asanuma,Hikaru Yamaguchi,Animation;Drama,2019-09-20,11,1,Ended
/uAjMQlbPkVHmUahhCouANlHSDW2.jpg,2019-01-11,"[16, 9648, 10765, 10759, 18]",83097,The Promised Neverland,['JP'],ja,約束のネバーランド,"Surrounded by a forest and a gated entrance, the Grace Field House is inhabited by orphans happily living together as one big family, looked after by their ""Mama,"" Isabella. Although they are required to take tests daily, the children are free to spend their time as they see fit, usually playing outside, as long as they do not venture too far from the orphanage — a rule they are expected to follow no matter what. However, all good times must come to an end, as every few months, a child is adopted and sent to live with their new family... never to be heard from again.

However, the three oldest siblings have their suspicions about what is actually happening at the orphanage, and they are about to discover the cruel fate that awaits the children living at Grace Field, including the twisted nature of their beloved Mama.",65.812,/yxdeII5tI8qqiERcMxjW9DfB6Gz.jpg,9.2,545,Sumire Morohoshi;Mariya Ise;Lynn;Shinei Ueki;Erisa Kuon;Mari Hino;Shizuka Ishigami;Yuko Mori;Ai Kayano;Nao Shiraki;Koko Hayashi;Yoshino Aoyama;Hiyori Kouno,,Animation;Mystery;Sci-Fi & Fantasy;Action & Adventure;Drama,2021-02-26,23,2,Returning Series
/rnf2BDKeF1sxPEPhAcdvL0auuxr.jpg,2020-10-03,"[16, 35]",100049,TONIKAWA: Over the Moon for You,['JP'],ja,トニカクカワイイ,"First comes marriage, then comes an earthbound love that is out of this world!

From the day his parents named him, Nasa Yuzaki has been destined for outer space...or so he believes. But while trying to join the space program, he is thrown for a loop when an accident introduces him to Tsukasa, a mysterious girl with strange powers. Is she an alien, a moon goddess or something else? Since she insists on marrying him, Nasa has plenty of chances to find out!",32.649,/n1oOuXlcHF1brgcgyiwmnIODXso.jpg,9.1,176,Junya Enoki;Akari Kitō;Yū Serizawa;Sumire Uesaka;Konomi Kohara;Yuki Nagaku;Hitomi Ohwada,Hiroshi Ikehata,Animation;Comedy,2020-12-19,12,1,Ended
/qSgBzXdu6QwVVeqOYOlHolkLRxZ.jpg,2019-01-09,"[16, 10759, 10765, 18]",83095,The Rising of the Shield Hero,['JP'],ja,盾の勇者の成り上がり,"Iwatani Naofumi was summoned into a parallel world along with 3 other people to become the world's Heroes. Each of the heroes respectively equipped with their own legendary equipment when summoned, Naofumi received the Legendary Shield as his weapon. Due to Naofumi's lack of charisma and experience he's labeled as the weakest, only to end up betrayed, falsely accused, and robbed by on the third day of adventure. Shunned by everyone from the king to peasants, Naofumi's thoughts were filled with nothing but vengeance and hatred. Thus, his destiny in a parallel World begins...",15.476,/6cXf5EDwVhsRv8GlBzUTVnWuk8Z.jpg,9.1,457,Kaito Ishikawa;Asami Seto;Rina Hidaka;Hiroki Yasumoto;Yoshitsugu Matsuoka;Kikuko Inoue;Maaya Uchida;Makoto Takahashi;Megumi Han;Sarah Emi Bridcutt;Yoshitaka Yamaya;Yutaka Nakano,Takao Abo,Animation;Action & Adventure;Sci-Fi & Fantasy;Drama,2019-06-26,25,2,Returning Series
/ci7jTekDFEx6U48XUCl3vBMdrns.jpg,2018-07-06,"[10759, 18, 9648, 16]",80564,Banana Fish,['JP'],ja,BANANA FISH,"Nature made Ash Lynx beautiful; nurture made him a cold ruthless killer. A runaway brought up as the adopted heir and sex toy of ""Papa"" Dino Golzine, Ash, now at the rebellious age of seventeen, forsakes the kingdom held out by the devil who raised him. But the hideous secret that drove Ash's older brother mad in Vietnam has suddenly fallen into Papa's insatiably ambitious hands—and it's exactly the wrong time for Eiji Okamura, a pure-hearted young photographer from Japan, to make Ash Lynx's acquaintance...",31.928,/1UV5di9UIXwrpCW3xQ4RNli5hEV.jpg,9.1,391,Yuuma Uchida;Kenji Nojima;Makoto Furukawa;Jun Fukuyama;Shoya Chiba;Toshiyuki Morikawa;Hiroaki Hirata;Unsho Ishizuka;Soma Saito;Yoshimasa Hosoya,Hiroko Utsumi,Action & Adventure;Drama;Mystery;Animation,2018-12-21,24,1,Ended
/e30T3teKp6VZlIXhI0AhTDksvoy.jpg,2021-01-13,"[16, 10759, 10765]",99071,Redo of Healer,['JP'],ja,回復術士のやり直し,"In a world of monsters, adventurers and magic, some of the most gifted healers are subjugated to brute force. Keyaru gains the ability to rewind time and turns the tables on those who’ve exploited him in this dark fantasy tale of vengeance and fury.",59.823,/hynFI7MltF1BBvroh3iJplnBZyc.jpg,9.0,185,Yūya Hozumi;Ayano Shibuya;Minami Tsuda;Shizuka Ishigami;Natsuki Aikawa;Natsumi Takamori;Mami Fujita;Tetsu Inada;Asuka Nishi,Kazuyuki Fudeyasu;Takuya Asaoka,Animation;Action & Adventure;Sci-Fi & Fantasy,2021-02-24,12,1,Returning Series
/iJlztXhWfHZH0VVGPMMl5oZS1RJ.jpg,2014-10-10,"[16, 35, 18]",61663,Your Lie in April,['JP'],ja,四月は君の嘘,"Kousei Arima was a genius pianist until his mother's sudden death took away his ability to play. Each day was dull for Kousei. But, then he meets a violinist named Kaori Miyazono who has an eccentric playing style. Can the heartfelt sounds of the girl's violin lead the boy to play the piano again?",29.404,/nksFLYTydth9OYVpMuMbtOBkvMO.jpg,9.0,387,Saori Hayami;Ai Kayano;Risa Taneda;Ayane Sakura;Natsuki Hanae;Ryota Ohsaka;Yūki Kaji,Kyohei Ishiguro,Animation;Comedy;Drama,2015-03-20,22,1,Ended
/lHcScx9Qpj6OkTmnzPRGIRhn3FR.jpg,2019-10-03,"[16, 35, 18]",93019,ORESUKI: Are you the only one who loves me?,['JP'],ja,俺を好きなのはお前だけかよ,"Kisaragi Amatsuyu is invited out alone by the cool beauty upperclassman Cosmos and his childhood friend Himawari. Expecting to hear their confessions, he triumphantly goes to meet each of them in turn. But Cosmos and Himawari both instead confess to Amatsuyu that they like his friend. Amatsuyu fights this lonely battle, but there is another girl who is looking at him. She is a gloomy girl with glasses and braids. Amatsuyu finds that he hates her, because she's always turning her sharp tongue only on him and finding enjoyment in his troubles. But it turns out that she's the only one who actually does like him.",14.88,/4MojZik5N62IShd2BFVEHyaRBLP.jpg,9.0,172,Daiki Yamashita;Haruka Tomatsu;Haruka Shiraishi;Sachika Misawa;Yuuma Uchida;Shiori Mikami;Shuka Saitō;Nao Touyama,Noriaki Akitaya;Geisei Morita,Animation;Comedy;Drama,2019-12-26,12,1,Ended
/ftpjln5qa8xAqnDGamIHtYweRHY.jpg,2020-07-11,"[35, 16]",96316,Rent-a-Girlfriend,['JP'],ja,彼女、お借りします,"In today’s Japan, ""rental"" services can deliver an afternoon with a ""friend,"" a ""parent,"" even a fake girlfriend! Kinoshita Kazuya is a 20-year-old failure of a college student. He managed to kiss his girlfriend once, but was dumped after a month.  Completely spiteful, Kazuya gets just desperate enough to give it a try. But he quickly discovers how complicated it can be to ""rent"" an emotional connection… and his new ""girlfriend,"" Mizuhara Chizuru, who’s trying to keep her side hustle secret, will panic when she finds out her real life and Kazuya’s are intertwined in surprising ways! A reckless rom-com filled with love and excitement is about to begin!",57.26,/4rqyyM0R3a0EeSlEvdpxDKbjiKB.jpg,9.0,425,Sora Amamiya;Nao Touyama;Rie Takahashi;Aoi Yuki;Shun Horie;Gakuto Kajiwara;Yukari Nozawa;Masayuki Akasaka,Kazuomi Koga,Comedy;Animation,2020-09-26,12,1,Returning Series
